seq,timestamp_ms,red,ir,red_corrected,ir_corrected,datetime
1,135093,40603,100950,-10.78806342832994,-4.396234730692758,1970-01-01 00:02:15.093
2,135113,40616,100938,2.142788596852313,-15.10566862684167,1970-01-01 00:02:15.113
3,135133,40603,100945,-12.051503149987948,-7.542110206633485,1970-01-01 00:02:15.133
4,135153,40612,100939,-0.7691659035321763,-14.245303360060204,1970-01-01 00:02:15.153
5,135173,40621,100933,8.087457181992205,-20.55219023030498,1970-01-01 00:02:15.173
6,135193,40606,100932,-7.905470850113863,-20.737921795986853,1970-01-01 00:02:15.193
7,135213,40597,100920,-16.592344508449596,-32.69311072634576,1970-01-01 00:02:15.213
8,135233,40599,100916,-16.334325071064363,-37.22748557144673,1970-01-01 00:02:15.233
9,135253,40588,100905,-25.38853841628248,-47.1797950473888,1970-01-01 00:02:15.253
10,135276,40596,100902,-17.972481304628026,-49.652008655223504,1970-01-01 00:02:15.276
11,135296,40577,100860,-36.07693190770778,-91.47686886617504,1970-01-01 00:02:15.296
12,135316,40574,100846,-38.617089018479085,-105.54742244541316,1970-01-01 00:02:15.316
13,135339,40575,100839,-37.74546329091838,-111.47599273908492,1970-01-01 00:02:15.339
14,135349,40576,100847,-36.88873952489934,-102.58198732548696,1970-01-01 00:02:15.349
15,135369,40558,100785,-53.58064584985831,-163.80219354667395,1970-01-01 00:02:15.369
16,135399,40558,100788,-51.30330384095476,-160.5006371523248,1970-01-01 00:02:15.399
17,135409,40562,100759,-48.04163730469722,-188.575193785417,1970-01-01 00:02:15.409
18,135439,40553,100771,-56.57222288850344,-176.1500100642008,1970-01-01 00:02:15.439
19,135459,40543,100725,-67.05595439709367,-221.08594965957155,1970-01-01 00:02:15.459
20,135479,40533,100716,-77.63519911360451,-228.5885708903238,1970-01-01 00:02:15.479
21,135499,40551,100699,-57.82981089377272,-244.5222136956769,1970-01-01 00:02:15.499
22,135519,40549,100700,-59.18389270573591,-242.83031338591823,1970-01-01 00:02:15.519
23,135534,40547,100694,-61.76331121553145,-247.33882467086707,1970-01-01 00:02:15.534
24,135555,40535,100736,-73.45895470161709,-202.9894699805872,1970-01-01 00:02:15.555
25,135575,40541,100723,-66.31687141542189,-215.67101986430148,1970-01-01 00:02:15.575
26,135598,40540,100720,-66.70269270065776,-218.3370178133182,1970-01-01 00:02:15.598
27,135613,40528,100714,-79.44016926905209,-222.8035093096001,1970-01-01 00:02:15.613
28,135633,40534,100721,-74.10642994820039,-213.56818430337887,1970-01-01 00:02:15.633
29,135653,40539,100719,-66.60809665936492,-214.6678572184792,1970-01-01 00:02:15.653
30,135681,40541,100718,-62.58130159239299,-215.44231963817123,1970-01-01 00:02:15.681
31,135691,40538,100704,-65.92413925662798,-228.3501849651626,1970-01-01 00:02:15.691
32,135711,40529,100716,-76.13414642931086,-214.60244044379863,1970-01-01 00:02:15.711
33,135733,40543,100705,-61.324915196105934,-224.8006624684936,1970-01-01 00:02:15.733
34,135757,40535,100704,-67.82392587353853,-224.11627814386844,1970-01-01 00:02:15.757
35,135777,40532,100689,-71.86464164001993,-237.39484932736016,1970-01-01 00:02:15.777
36,135800,40547,100709,-55.62668172832119,-216.1355563432336,1970-01-01 00:02:15.800
37,135811,40523,100680,-79.11256307761568,-243.95685965705871,1970-01-01 00:02:15.811
38,135831,40526,100713,-75.48536795430768,-210.996527275254,1970-01-01 00:02:15.831
39,135851,40526,100697,-74.53015523722394,-225.60715685726356,1970-01-01 00:02:15.851
40,135877,40526,100704,-74.09287261364999,-216.6826172186526,1970-01-01 00:02:15.877
41,135890,40531,100718,-68.3924216227574,-201.7211074925286,1970-01-01 00:02:15.890
42,135910,40523,100705,-75.73076439079539,-214.0698731775392,1970-01-01 00:02:15.910
43,135935,40525,100708,-74.05998940961864,-209.80209293694676,1970-01-01 00:02:15.935
44,135960,40536,100701,-62.507957358232446,-216.11904909222932,1970-01-01 00:02:15.960
45,135974,40524,100718,-73.61725833829624,-198.53169861756163,1970-01-01 00:02:15.974
46,135994,40536,100720,-60.96853625943246,-195.9671340502984,1970-01-01 00:02:15.994
47,136014,40537,100721,-59.35735286309001,-193.07498520828844,1970-01-01 00:02:16.014
48,136035,40529,100707,-67.81714945692869,-205.62281368158952,1970-01-01 00:02:16.035
49,136055,40524,100737,-73.7201829609285,-175.22602196840882,1970-01-01 00:02:16.055
50,136076,40530,100765,-67.14091245200328,-146.98199785886297,1970-01-01 00:02:16.076
