Feature Name,Feature Type,Description
seq,int64,Auto Generated
timestamp_ms,int64,Auto Generated
red,int64,Auto Generated
ir,int64,Auto Generated
red_corrected,float64,Auto Generated
ir_corrected,float64,Auto Generated
datetime,datetime64[ms],Auto Generated
hour,int32,Auto Generated
minute,int32,Auto Generated
second,int32,Auto Generated
millisecond,int32,Auto Generated
day,int32,Auto Generated
week,UInt32,Auto Generated
month,int32,Auto Generated
quarter,int32,Auto Generated
red_lag_1,float64,Auto Generated
red_lag_2,float64,Auto Generated
red_lag_3,float64,Auto Generated
red_lag_5,float64,Auto Generated
red_lag_10,float64,Auto Generated
red_lag_20,float64,Auto Generated
red_lag_50,float64,Auto Generated
red_rolling_mean_5,float64,Auto Generated
red_rolling_std_5,float64,Auto Generated
red_rolling_mean_10,float64,Auto Generated
red_rolling_std_10,float64,Auto Generated
red_rolling_mean_20,float64,Auto Generated
red_rolling_std_20,float64,Auto Generated
red_rolling_mean_50,float64,Auto Generated
red_rolling_std_50,float64,Auto Generated
red_rolling_mean_100,float64,Auto Generated
red_rolling_std_100,float64,Auto Generated
red_diff1,float64,Auto Generated
red_diff2,float64,Auto Generated
red_pct_change,float64,Auto Generated
ir_lag_1,float64,Auto Generated
ir_lag_2,float64,Auto Generated
ir_lag_3,float64,Auto Generated
ir_lag_5,float64,Auto Generated
ir_lag_10,float64,Auto Generated
ir_lag_20,float64,Auto Generated
ir_lag_50,float64,Auto Generated
ir_rolling_mean_5,float64,Auto Generated
ir_rolling_std_5,float64,Auto Generated
ir_rolling_mean_10,float64,Auto Generated
ir_rolling_std_10,float64,Auto Generated
ir_rolling_mean_20,float64,Auto Generated
ir_rolling_std_20,float64,Auto Generated
ir_rolling_mean_50,float64,Auto Generated
ir_rolling_std_50,float64,Auto Generated
ir_rolling_mean_100,float64,Auto Generated
ir_rolling_std_100,float64,Auto Generated
ir_diff1,float64,Auto Generated
ir_diff2,float64,Auto Generated
ir_pct_change,float64,Auto Generated
red_corrected_lag_1,float64,Auto Generated
red_corrected_lag_2,float64,Auto Generated
red_corrected_lag_3,float64,Auto Generated
red_corrected_lag_5,float64,Auto Generated
red_corrected_lag_10,float64,Auto Generated
red_corrected_lag_20,float64,Auto Generated
red_corrected_lag_50,float64,Auto Generated
red_corrected_rolling_mean_5,float64,Auto Generated
red_corrected_rolling_std_5,float64,Auto Generated
red_corrected_rolling_mean_10,float64,Auto Generated
red_corrected_rolling_std_10,float64,Auto Generated
red_corrected_rolling_mean_20,float64,Auto Generated
red_corrected_rolling_std_20,float64,Auto Generated
red_corrected_rolling_mean_50,float64,Auto Generated
red_corrected_rolling_std_50,float64,Auto Generated
red_corrected_rolling_mean_100,float64,Auto Generated
red_corrected_rolling_std_100,float64,Auto Generated
red_corrected_diff1,float64,Auto Generated
red_corrected_diff2,float64,Auto Generated
red_corrected_pct_change,float64,Auto Generated
ir_corrected_lag_1,float64,Auto Generated
ir_corrected_lag_2,float64,Auto Generated
ir_corrected_lag_3,float64,Auto Generated
ir_corrected_lag_5,float64,Auto Generated
ir_corrected_lag_10,float64,Auto Generated
ir_corrected_lag_20,float64,Auto Generated
ir_corrected_lag_50,float64,Auto Generated
ir_corrected_rolling_mean_5,float64,Auto Generated
ir_corrected_rolling_std_5,float64,Auto Generated
ir_corrected_rolling_mean_10,float64,Auto Generated
ir_corrected_rolling_std_10,float64,Auto Generated
ir_corrected_rolling_mean_20,float64,Auto Generated
ir_corrected_rolling_std_20,float64,Auto Generated
ir_corrected_rolling_mean_50,float64,Auto Generated
ir_corrected_rolling_std_50,float64,Auto Generated
ir_corrected_rolling_mean_100,float64,Auto Generated
ir_corrected_rolling_std_100,float64,Auto Generated
ir_corrected_diff1,float64,Auto Generated
ir_corrected_diff2,float64,Auto Generated
ir_corrected_pct_change,float64,Auto Generated
